TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
262435954,2478.01,PC,,3231558995812433920,210.9461,4.757547,DR3,73.55436,20.81002,1.233617,-39.9165,0.021,0.022,0.022,0.06951,0.07282,5750,250,4.5,0.5,0,0.5,TRES,,,N,197.4001694,-25.19471803
264979636,518.01,PPC,,3148477354598384512,158.934,6.30892,DR3,115.7168,-11.2643,8.866904,-13.0628,0.01,0.017,0.017,0.0331,0.05627,6000,250,4.5,0.5,0,0.5,TRES,,,N,210.7364896,15.42417911
266980320,118.01,P,,6492940453524576128,94.2912,10.62244,DR3,349.5593,313.9245,-56.904,-20.184,0.003,0.015,0.015,0.00993,0.04965,,,,,,,,,,N,325.6110448,-55.9280498
270380593,465.01,KP,,2514360548993901312,122.0958,8.207288,DR3,32.7821,74.21733,2.418199,39.92977,0.008,0.015,0.015,0.02648,0.04965,,,,,,,,,,N,159.0904202,-54.7602096
271478281,2194.01,PC,,6748283784056800384,19.55405,51.15731,DR3,299.1564,409.2186,-31.3352,31.53811,0.001,0.015,0.015,0.00331,0.04965,5000,250,5,0.5,0,0.5,TRES,,,N,9.603494542,-26.770726
274194927,2439.01,PC,,3271026343647458816,311.9968,3.222162,DR3,54.02839,-4.9864,1.933815,-5.29765,0.051,0.031,0.031,0.16881,0.10261,5500,250,4,0.5,0,0.5,TRES,,,N,183.3749417,-40.85817369
277683130,138.01,APC,,6409051049221805952,192.5218,5.211218,DR3,328.926,-21.0444,-61.6733,-1.31089,0.008,0.017,0.017,0.02648,0.05627,,,,,,,,,,N,330.6117153,-44.86996408
278683844,119.01-02,CPC/CPC,,5484357574075622784,66.83816,14.97851,DR3,99.23843,51.58097,-58.0162,-205.539,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,267.3771168,-24.61618857
282576340,2494.01-02,VPC/PC,,3122498604956156416,154.993,6.468905,DR3,90.15953,15.72736,0.131472,-66.9805,0.022,0.017,0.017,0.07282,0.05627,5500,250,4.5,0.5,0,0.5,TRES,,,N,206.9458417,-11.22203213
299799658,1062.01,VPC,,4632865331094140928,82.46352,12.14357,DR3,38.12104,108.0175,-78.0237,30.63943,0.003,0.016,0.016,0.00993,0.05296,,,,,,,,,,N,296.4967069,-37.81241413
300293197,211.01,APC,,5268755820751031296,,,,110.2797,,-68.5784,,0,0.014,0.014,0,0.04634,,,,,,,,,,N,279.8543051,-22.48896201
300812741,2322.01,PC,,5264331179802870016,59.95412,16.69642,DR3,116.9731,7.865998,-71.002,-53.1461,0.003,0.016,0.016,0.00993,0.05296,,,,,,,,,,N,283.1481355,-21.13076433
307210830,175.01-03,P/P/VP,,5271055243163629056,10.61015,94.26636,DR3,124.5329,94.79378,-68.3145,-340.084,0,0.015,0.015,0,0.05535,,,,,,,,,,N,281.8155011,-17.59292896
