TIC,TOI,SG1Disposition,Rplanet,Period,CK2016_Mass,PredictedK,Mstar_TIC8,Rstar_TIC8,Teff_TIC8
52368076,125.03,P,2.748,19.981866,8.008,2.01,0.91,0.85,5251
72668830,4296.01,PC,3.145,19.970657,10.074,2.7,0.83,0.9,4985
288636599,1890.01,VPC,10.216,19.967924,74.629,16.91,1.06,1.27,5558
398912927,3626.01,PC,13.562,19.887534,120.817,27.42,1.06,1.57,5856
462162948,684.01,PC,8.779,19.850783,57.673,7.68,NaN,NaN,9959
260647166,1233.02,VP,3.216,19.593213,10.461,2.45,1.02,0.86,5745
309791156,533.01,VPC,3.932,19.571485,14.723,4.27,0.74,0.89,4778
841226526,3828.01,PC,10.365,19.51118,76.497,19.2,0.92,1.65,5335
101948569,240.01,VPC-,2.979,19.471102,9.184,2.85,0.67,0.7,4316
174041208,1740.01,PC,2.462,19.428419,6.641,1.66,0.93,0.84,5030
322807675,2398.01,PC,9.528,19.4067,66.289,17.49,0.86,0.82,4958
459969957,1274.01,VPC+,9.146,19.320336,61.84,17.89,0.75,0.8,4656
260417932,932.01,VPC?,2.614,19.310559,7.353,2.22,0.7,0.73,4444
271971130,715.01,VPC,1.685,19.28805,3.486,2.43,0.2,0.23,3204
451606970,1214.01,PC,2.516,19.181297,6.894,1.77,0.9,0.94,5315
404505029,1842.01,VPC,12.684,19.148095,107.824,23.43,1.15,2.05,6021
192790476,2459.01,VPC,2.937,19.104702,8.963,2.83,0.66,0.68,4195
358248442,2419.01,VPC-?,4.617,18.908355,19.342,4.36,1.1,1.35,5919
101011575,560.02,VPC,2.465,18.879744,6.657,1.94,0.75,0.63,4524
408636441,1759.01,VPC,3.28,18.8481,10.817,3.61,0.61,0.63,3981
231071138,2393.01,VPC,9.032,18.84184,60.529,14.64,0.99,1.1,5524
198356533,1437.01,PC,2.472,18.841117,6.69,1.47,1.14,1.22,6067
53617134,2033.01,PC,9.632,18.8238,67.523,12.15,1.54,1.95,6779
142276270,1136.04,CPC,2.541,18.804756,7.008,1.65,1.03,0.98,5767
467179528,1266.02,VP,1.675,18.79545,3.45,1.45,0.43,0.44,3716
356016119,2094.01,VPC+,1.543,18.79174,3.001,1.41,0.37,0.38,3552
142868621,2446.01,PC,4.208,18.685862,16.52,3.78,1.08,0.99,5900
230127302,1246.01,PC,3.305,18.660326,10.96,2.9,0.87,0.88,5098
374829238,785.01,PC,1.309,18.622893,2.269,0.81,0.56,0.56,3824
115583726,2280.01,PC,9.13,18.601675,61.653,13.33,1.18,3.7,6119
310994622,3868.01,PC,7.867,18.565257,47.863,14.07,0.74,0.79,4671
167415965,214.01,CPC,1.753,18.553864,3.729,0.95,0.92,0.8,5418
62301521,4341.01,PC,1.283,18.404333,2.195,2.35,0.11,0.13,2891
200723869,257.01,P,6.706,18.385185,36.488,7.5,1.28,1.77,6052
38510224,711.01,VPC?,2.683,18.384181,7.689,2.41,0.68,0.68,4386
287256467,2141.01,PC,3.609,18.258947,12.727,3.07,1.01,0.94,5674
386131764,2633.01,PC,8.83,18.196049,58.254,9.4,1.85,1.67,7811
50312495,1211.01,PC,3.132,18.166364,10,2.47,0.98,1.14,5832
294500964,2550.01,VPC?,7.158,18.143116,40.764,9.76,1.03,0.92,5737
464300749,3362.01,VPC+,11.877,18.095475,96.424,18.94,1.38,1.8,6600
148228019,527.01,VPC,22.202,18.08921,317,54.4,1.69,1.84,7244
356311210,1261.01,PC,3.419,18.059105,11.608,2.7,1.07,1.01,5804
169448771,2705.01,PC,12.593,18.010652,106.499,25.46,1.03,1.85,5740
233633993,2083.01,PC,2.568,17.969235,7.134,2.23,0.69,0.77,4393
179034327,444.01,VPC,3.297,17.963508,10.913,2.97,0.85,0.79,5091
408114363,2450.01,VPC+,6.417,17.883241,33.856,8.59,0.95,0.78,5426
264979636,518.01,PPC,3.285,17.87897,10.846,2.54,1.07,1.03,5846
169461816,3563.01,PC,14.318,17.87394,317,60.37,1.45,1.49,6779
283307274,2558.01,PC,11.906,17.783828,96.818,20.5,1.24,1.38,6315
288636342,1692.01,PC,5.147,17.729029,23.266,4.65,1.36,1.46,6333
425997655,174.01,P,2.096,17.667162,5.052,1.46,0.78,0.69,4696
235678745,2095.01,CPC,1.323,17.663343,2.311,0.95,0.46,0.46,3837
252912175,3797.01,PC,11.2,17.624434,87.256,20.11,1.1,1.21,5974
382626661,283.01,VPC,2.341,17.617522,6.098,1.61,0.9,0.81,5245
64071894,458.01,VPC?,2.895,17.528835,8.749,2.42,0.84,0.83,5033
320004517,1055.01,P,3.493,17.471139,12.041,2.89,1.04,0.97,5800
130924120,757.01,VPC?,2.129,17.468079,5.188,1.35,0.92,0.76,5335
233719215,4054.01,PC,10.023,17.356729,72.253,21.61,0.75,0.76,4697
147660886,2005.01,VPC+,12.189,17.30714,100.766,17.83,1.65,2.23,6794
354519019,2507.01,PC,2.766,17.305148,8.098,1.94,1.05,0.92,5824
347011522,3996.01,PC,21.482,17.204573,317,68.35,1.23,1.77,6278
39218269,2366.01,VPC?,12.916,17.186988,111.19,25.45,1.13,2.05,5457
120896927,402.02,P,2.092,17.180774,5.035,1.36,0.88,0.84,5139
394287035,2328.01,VPC,9.894,17.102093,70.678,18.27,0.94,0.93,5235
55652896,216.02,P,3.386,17.069723,11.421,3.19,0.84,0.8,4905
190223929,1698.01,VPC-,15.144,17.04198,317,53.2,1.8,2.34,6991
357661805,3456.01,PC,11.822,17.032852,95.662,26.91,0.83,0.92,5022
313194972,4144.01,PC,11.501,16.901999,91.282,23.54,0.95,0.91,5442
138762614,1802.01,VPC,2.507,16.796111,6.849,2.48,0.57,0.58,3933
342343963,3360.01,PC,16.02,16.737504,317,64.83,1.35,2.97,6549
268334473,1691.01,PC,3.495,16.736716,12.051,2.95,1.03,1,5675
4897275,1774.01,VP,2.74,16.710042,7.966,1.92,1.06,1.09,5747
20579360,2532.01,PC,13.818,16.705545,124.711,31.6,0.98,0.88,5560
170729775,2449.01,STPC,11.886,16.654243,96.541,22.27,1.13,1.08,6022
86273567,3858.01,PC,5.083,16.595836,22.783,4.92,1.25,1.16,6329
219501568,2259.01,CPC,4.33,16.593762,17.346,3.45,1.42,1.74,6659
152563846,4185.01,PC,3.318,16.541403,11.03,3.54,0.69,0.94,4396
417931607,1451.01,CPC,2.461,16.53818,6.639,1.62,1.04,1.03,5781
28116365,4297.01,PC,2.924,16.527265,8.899,2.51,0.84,0.82,5030
80432617,359.01,LEPC,8.635,16.45209,56.081,14.29,0.98,1.85,5535
204698337,2535.01,PC,9.847,16.445273,70.109,18.77,0.91,0.88,5278
377064495,561.03,VPC?,2.729,16.37165,7.914,2.06,0.95,0.84,5440
257605131,451.01,P,3.925,16.364873,14.677,3.8,0.96,0.86,5454
261108236,1082.01,PC,2.627,16.346925,7.416,2.52,0.64,0.65,4044
21832928,2128.01,PC,2.048,16.341914,4.859,1.15,1.1,1.13,6070
166184428,4336.01,VPC,2.111,16.33603,5.115,2.83,0.31,0.33,3365
